,R_P_E,Transcript,Filename,Title,Publication,Date,FullDate,Page,Summary,Notes,SourceFormat,X,duplicated
26,E,TRUE,DailyWabashExpress-4-18-83.txt,,Daily Wabash Express ,"April 18, 1883",1883-04-18,1,Article notes that Buffalo Bill's Indians drank too much and caused a disturbance which required the police to be called ,,P,,FALSE
27,P,TRUE,DailyWabashExpress-4-22-83.txt,,Daily Wabash Express ,"April 22, 1883 ",1883-04-22,1,Article highlights some of the features of Buffalo Bill's upcoming show,,P,,FALSE
28,P,TRUE,LogansportJournal-5-9-83.txt,N/A,Logansport Journal,"May 9, 1883",1883-05-09,8,The Buffalo Bill show will arrive in Logansport in June of 1883. ,,P,,TRUE
29,E,TRUE,BloomingtonTelephone-5-19-83.txt,,Bloomington Telephone,"May 19, 1883 ",1883-05-19,3,"Buffalo Bill has a new play titled ""The Wild West""",,P,,FALSE
30,P,TRUE,DailyWabashExpress-5-24-83.txt,,Daily Wabash Express ,"May 24, 1883 ",1883-05-24,4,"Buffalo Bill requested reservation of the fairgrounds for his show, but notes that there is uncertainty as to whether or not he is actually coming",,P,,FALSE
31,P,TRUE,LogansportPharosTribune-5-26-83.txt,N/A,Logansport Pharos Tribune,"May 26, 1883",1883-05-26,2,"This article announces the future visit of Buffalo Bil, Dr. Carver, and the Wild West troupe during the summer in Logansport. ",,P,,FALSE
32,P,TRUE,LogansportWeeklyPharos-5-30-83.txt,N/A,Logansport Weekly Pharos ,"May 30, 1883",1883-05-30,5,This article also announces the upcoming Buffalo Bill show in Logansport. This is the same as the Logansport Pharos Tribune.,,P,,FALSE
33,P,TRUE,LogansportChronicle-6-2-83.txt,N/A,Logansport Chronicle,"June 2, 1883",1883-06-02,8,This clip reports Buffalo Bill and Dr. Carver's visit in Lafayette and their scheduled visit in Indianapolis. ,,P,,FALSE
34,R,TRUE,FortWayneWeeklySentinel-6-6-83.txt,N/A,Fort Wayne Weekly Sentinel,"June 6, 1883",1883-06-06,7,"Buffalo Bill and his troupe performed at the fair grounds in Lafayette, with large numbers of people attending. ",,P,,FALSE
35,P,TRUE,LogansportChronicle-6-9-83.txt,N/A,Logansport Chronicle,"June 9, 1883",1883-06-09,8,This small article reports Buffalo Bill-Carver Company's week-long visit in Cincinnati and announces its future visit to Indianapolis during the following week. ,,P,,FALSE
36,P,TRUE,IndianapolisNews-6-9-83.txt,,Indianapolis News,"June 9, 1883",1883-06-09,3,Short note about the characters involved in the Wild West show,,P,,FALSE
37,R,TRUE,IndianapolisNews-6-12-83.txt,,Indianapolis News,"June 12, 1883 ",1883-06-12,3,Article notes that Buffalo Bill's show was popular and drew a large crowd; also notes that some of Bill's Indians were in a crowd for another show of which they were well entertained ,,P,,FALSE
38,R,TRUE,IndianapolisMonroesIronCladAge-6-16-83.txt,N/A,Indianapolis Monroe's Iron Clad Age,"June 16, 1883",1883-06-16,5,"Buffalo Bill was in Indianapolis, parading in the street with his troupe and entertaining people, especially boys. ",,P,,FALSE
39,E,TRUE,BrazilClayCountyEnterprise-6-20-83.txt,N/A,Brazil Clay County Enterprise,"June 20, 1883",1883-06-20,4,This news item reports the death of an Indian papoose in Indianapolis. ,,P,,FALSE
40,E,TRUE,GreencastleBanner-6-21-83.txt,,Greencastle Banner,"June 21, 1883 ",1883-06-21,3,Short note about Indian papoose dying whilst in Indianapolis ,,P,,FALSE
41,E,TRUE,RochesterTribune-6-29-83.txt,N/A,Rochester Tribune,"June 29, 1883",1883-06-29,4,This is a same news item as the Brazil Clay County Enterprise. ,,P,,FALSE
42,E,TRUE,LogansportChronicle-6-30-83.txt,N/A,Logansport Chronicle,"June 30, 1883",1883-06-30,8,This item mentions Buffalo Bill's stay in Utica,,P,,FALSE
43,R,TRUE,LogansportPharosTribune-7-11-83.txt,The Opera House,Logansport Pharos Tribune,"July 11, 1883",1883-07-11,3,This is a schedule of Buffalo Bill's performance at the opera house on November 21. ,,P,,FALSE
44,P,TRUE,FortWayneDailyGazette-7-16-83.txt,N/A,Fort Wayne Daily Gazette,"July 16, 1883",1883-07-16,7,"This item lists the dates of performances at the Logansport opera house, including Buffalo Bill on November 21, 1883, and tells us that the same companies would be in Fort Wayne. ",,P,,FALSE
45,E,TRUE,LogansportPharosTribune-7-25-83.txt,N/A,Logansport Pharos Tribune,"July 25, 1883",1883-07-25,3,"Captain Stubbs held an exhibition in the past before Buffalo Bill, where people saw his shooting at Smith & Hogle's park. ",,P,,FALSE
46,P,TRUE,IndianapolisNews-7-25-83.txt,,Indianapolis News,"July 25, 1883 ",1883-07-25,4,"Buffalo Bill and his ""wild troupe of aborigines"" have been invited to exhibit at the state fair ",,P,,FALSE
47,E,TRUE,LogansportChronicle-7-28-83.txt,N/A,Logansport Chronicle,"July 28, 1883",1883-07-28,3,Captain Stubbs was successful in his shooting performance. ,,P,,FALSE
48,E,TRUE,BrazilDemocrat-8-16-83.txt,N/A,Brazil Democrat,"August 16, 1883",1883-08-16,7,"Buffalo Bill performs his show at a forty-acre lot, where there were no theaters beside it. ",,P,,FALSE
49,E,TRUE,IndianapolisNews-8-17-83.txt,Buffalo Bill's Duel with Yellow Hand,Indianapolis News,"August 17, 1883",1883-08-17,2,A descriptive narrative of Buffalo Bill's duel with Yellow Hand ,,P,,FALSE
50,E,TRUE,FortWayneDailyGazette-8-31-83.txt,Out of the Wild West,Fort Wayne Daily Gazette,"August 31, 1883",1883-08-31,2,This article describes the Wild West show at New York. ,,P,,FALSE
51,R,TRUE,LogansportWeeklyJournal-9-1-83.txt,N/A,Logansport Weekly Journal,"September 1, 1883",1883-09-01,8,"This is a description of the Buffalo Bill and Dr. Carver shows in the East side of the country, where a stage coach ride and Indian attack took place at the fairgrounds. ",,P,,FALSE
52,E,TRUE,PrincetonDemocrat-9-15-83.txt,Buffalo Bill's Duel With Yellow Hand,Princeton Democrat,"September 15, 1883",1883-09-15,1,"Buffalo Bill engaged in a scalping duel with Yellow Hand, as told by one of his comrades. ",,P,,FALSE
53,E,TRUE,GreencastleCountyBanner-9-20-83.txt,Gen. Bull's Intentions,Greencastle County Banner,"September 20, 1883",1883-09-20,6,"In this interview with the Fort Yates Correspondence, Gen. Bull describes his knowledge about the Death of Custer and his reasons why he could not travel with Buffalo Bill.",,P,,FALSE
54,E,TRUE,LogansportPharosTribune-10-1-83.txt,N/A,Logansport Pharos Tribune,"October 1, 1883",1883-10-01,3,The Buffalo Bill Wild West show changed after performing at Cleveland by adding a real battle of Indians. ,,P,,FALSE
55,E,TRUE,NorthManchesterJournal-10-4-83.txt,N/A,North Manchester Journal,"October 4, 1883",1883-10-04,2,"At Cleveland, Ohio, The Buffalo Bill show added a little real fighting of Indians while changing its show battles and successfully restored order when Indians nearly became violent. ",,P,,FALSE
56,E,TRUE,DailyWabashExpress-10-4-83.txt,,Daily Wabash Express ,"October 4, 1883 ",1883-10-04,2,"Short note about some of Buffalo Bill's ""tame"" Indians filling up with too much fire-water ",,P,,FALSE
57,E,TRUE,TerreHauteWeeklyGazette-10-4-83.txt,Buffalo Bill Licks an Indian ,Terre Haute Weekly Gazette ,"October 4, 1883 ",1883-10-04,1,"One of Buffalo Bill's Indians got drunk, started causing a ruckus, and attempted to fight Bill and other Indians, but Bill knocked him out and restored the peace ",,P,,FALSE
58,E,TRUE,ColumbusHerald-10-5-83.txt,Buffalo Bill Licks an Indian,Columbus Herald,"October 5, 1883",1883-10-05,7,The show added a real fighting scene of Indians after presenting in Cleveland. ,,P,,FALSE
59,E,TRUE,SaturdayEveningMail-10-6-83.txt,,Saturday Evening Mail ,"October 6, 1883 ",1883-10-06,1,A Pennsylvania man lassoed a passing train and was dragged alongside after seeing Buffalo Bill's exhibition ,,P,,FALSE
60,E,TRUE,LogansportChronicle-10-20-83.txt,N/A,Logansport Chronicle,"October 20, 1883",1883-10-20,2,"Buffalo Bill tried to lasso a moving coal car, but failed to catch it, as it dragged him at a distance. ",,P,,FALSE
61,E,TRUE,IndianapolisNews-10-25-83.txt,,Indianapolis News,"October 25, 1883 ",1883-10-25,1,Buffalo Bill will be escorting some Englishmen on a hunting campaign through the Rockies ,,P,,FALSE
62,E,TRUE,ShelbyvilleDailyEveningDemocrat-11-1-83.txt,A Bonanza for Book Agents: Wild Life on the Plains and Horrors of Indian Warfare,Shelbyville Daily Evening Democrat,"November 1, 1883",1883-11-01,3,This item describes the story of Indian battles against General Custer and his men and lists those who narrated it. ,,P,,FALSE
63,E,TRUE,NorthVernonPlainDealer-11-8-83.txt,Heroes of the Plains!,North Vernon Plain Dealer,"November 8, 1883",1883-11-08,8,This advertisement calls for agents for writing a Great New Book of Western Adventures of Buffalo Bill and other westerners. ,,P,,FALSE
64,E,TRUE,NorthVernonPlainDealer-11-15-83.txt,Heroes of the Plains!,North Vernon Plain Dealer,"November 15, 1883",1883-11-15,4,"J.W. Buel calls for a need of agents for a book that depicts western life and adventures, including notable people like Buffalo Bill, which sold 200,000 copies. ",,P,,FALSE
65,E,TRUE,SaturdayEveningMail-11-17-83.txt,,Saturday Evening Mail ,"November 17, 1883",1883-11-17,1,"Buffalo Bill's show, among others, have requested dates for shows",,P,,FALSE
66,E,TRUE,IndianapolisNews-11-19-83.txt,,Indianapolis News,"November 19, 1883 ",1883-11-19,1,A boy who disappeared was found travaling with the Buffalo Bill combination ,,P,,FALSE
67,E,TRUE,LogansportWeeklyPharos-11-21-83.txt,N/A,Logansport Weekly Pharos ,"November 21, 1883",1883-11-21,8,"This news item reports that someone found Irvine Ritter who went from his home to travel with the Buffalo Bill combination in Racine, Wisconsin. ",,P,,FALSE
68,E,TRUE,PoseyvilleNews-11-24-83.txt,Heroes of the Plains!,Poseyville News,"November 24, 1883",1883-11-24,1,This item is the same call for agents by J.W. Buel as shown in other newspapers. ,It is framed as an advertisement,P,,FALSE
69,E,TRUE,PrincetonDemocrat-12-1-83.txt,The Bad Boy,Princeton Democrat,"December 1, 1883",1883-12-01,1,"This lengthy article tells the story of the bad boy, who played as Indians with other boys to cause trouble, as they wanted a Buffalo Bill show to be held at the farm. ",,P,,FALSE
70,E,TRUE,BloomingtonIndianaStudent-12-1-83.txt,Editorial,Bloomington Indiana Student,"December 1, 1883",1883-12-01,13,This editorial criticizes the claim of literary trash in this piece. ,,P,,FALSE
71,E,TRUE,LogansportJournal-12-8-83.txt,Up To Fun and Larks,Logansport Journal,"December 8, 1883",1883-12-08,7,This article mentions the role of Mandeville and the Buffalo Bill combination.,,P,,FALSE
72,E,TRUE,FortWayneSundayGazette-12-9-83.txt,N/A,Fort Wayne Sunday Gazette,"December 9, 1883",1883-12-09,4,An item reports Buffalo Bill's dramas. ,,P,,FALSE
73,E,TRUE,LogansportJournal-12-12-83.txt,N/A,Logansport Journal,"December 12, 1883",1883-12-12,N/A,Four boys attacked wealthy residences in Milwaukee and were arrested for it. ,,P,,FALSE
74,E,TRUE,WestvilleIndicator-12-13-83.txt,N/A,Westville Indicator,"December 13, 1883",1883-12-13,2,This news item mentions four boys creating a Buffalo Bill combination that led to their arsonist behaviors on the 10th. ,,P,,FALSE
75,E,TRUE,LigonierLeader-12-13-83.txt,A Letter From Buffalo Bill,Ligonier Leader,"December 13, 1883",1883-12-13,8,This is an inserted letter about Buffalo Bill's experiences. ,,P,,FALSE
76,E,TRUE,ShelbyvilleDailyEveningDemocrat-12-22-83.txt,Buffalo Bill,Shelbyville Daily Evening Democrat,"December 22, 1883",1883-12-22,2,"This article mentions that Nicodemus Squedod, an Indian Chief in a play, will play at Mossback Saloon. ",Image of Buffalo,P,,FALSE
77,E,TRUE,FortWayneDailyGazette-2-12-84.txt,N/A,Fort Wayne Daily Gazette,"February 12, 1884",1884-02-12,14,"This item mentions J.D. Jennings and his appearance at ""A Prairie Waif""",,P,,FALSE
78,P,TRUE,FortWayneDailySentinel-2-12-84.txt,N/A,Fort Wayne Daily Sentinel,"February 12, 1884",1884-02-12,3,"Announcement of the coming of the Buffalo Bill company in Fort Wayne, which will do a parade. ",,P,,FALSE
79,P,TRUE,FortWayneDailySentinel-2-13-84.txt,N/A,Fort Wayne Daily Sentinel,"February 13, 1884",1884-02-13,3,"These are two news items, with the first mentioning Buffalo Bill's bill and the other announcing his upcoming show. ",,P,,FALSE
80,P,TRUE,FortWayneDailySentinel-2-14-84.txt,Amusements,Fort Wayne Daily Sentinel,"February 14, 1884",1884-02-14,3,An advertisement announces the Buffalo Bill show,An advertisement that had some illegible writing.,P,,FALSE
81,P,TRUE,FortWayneDailyGazette-2-14-84.txt,N/A,Fort Wayne Daily Gazette,"February 14, 1884",1884-02-14,6,Tickets for the Buffalo Bill were on sale ahead of time. ,,P,,FALSE
82,R,TRUE,FortWayneDailySentinel-2-15-84.txt,Item 1: N/A; Item 2: Buffalo Bill,Fort Wayne Daily Sentinel,"February 15, 1884",1884-02-15,3,"Item 1 announces the Buffalo Bill show the next day, while item 2 had a copied article about the attractiveness of the show. ",Some of the text is illegible,P,,FALSE
83,P,TRUE,FortWayneDailyGazette-2-15-84.txt,N/A,Fort Wayne Daily Gazette,"February 15, 1884",1884-02-15,13,"""The Prairie Waif"" will feature Buffalo Bill's notable actions. ",,P,,FALSE
84,R,TRUE,FortWayneDailySentinel-2-16-84.txt,N/A,Fort Wayne Daily Sentinel,"February 16, 1884",1884-02-16,3,"After the notable afternoon parade, Buffalo Bill went to the Academy for the night's play. ",,P,,FALSE
85,P,TRUE,FortWayneDailyGazette-2-16-84.txt,N/A,Fort Wayne Daily Gazette,"February 16, 1884",1884-02-16,4,"The first news item reports ""The Prairie Waif"" while the second item states that Buffalo Bill will perform at the Academy in Fort Wayne.",,P,,FALSE
86,E,TRUE,FortWayneGazette-2-17-84 page 5.txt,N/A,Fort Wayne Gazette,"February 17, 1884",1884-02-17,5,This article describes the reception of the play. ,,P,,FALSE
87,E,TRUE,FortWayneGazette-2-17-84 page 8.txt,N/A,Fort Wayne Gazette,"February 17, 1884",1884-02-17,8,This news item reports Buffalo Bill's travels to Chicago. ,,P,,FALSE
88,E,TRUE,FortWayneDailySentinel-2-18-84.txt,N/A,Fort Wayne Daily Sentinel,"February 18, 1884",1884-02-18,3,These news items report the company's trip to Chicago after Buffalo Bill and his company played poker on the train Saturday in Fort Wayne. ,,P,,FALSE
89,E,TRUE,LogansportJournal-2-19-84.txt,Long Locks and Lucre,Logansport Journal,"February 19, 1884",1884-02-19,4,This article talks about Buffalo Bill's actions with his long hair and his getting the fortune from Ned Buntline for treating him as a hero. ,,P,,FALSE
90,R,TRUE,MonroevilleWeeklyBreeze-2-21-84.txt,N/A,Monroeville Weekly Breeze,"February 21, 1884",1884-02-21,3,A number of young people went to the Academy of Music to see the Buffalo Bill play.,,P,,FALSE
91,E,TRUE,FortWayneDailyGazette-3-7-84.txt,"Buffalo Bill: At a ball, with Spike-Tail Coat and White Kids. ",Fort Wayne Daily Gazette,"March 7, 1884",1884-03-07,7,"Buffalo Bill attended a ball in Chicago, where he explained his experiences. ",,P,,FALSE
92,E,TRUE,DailyWabashExpress-3-25-84.txt,,Daily Wabash Express ,"March 25, 1884",1884-03-25,2,Buffalo Bill's suit to recover valuable land in Cleveland has been thrown out of court  ,,P,,FALSE
93,E,TRUE,MonroevilleWeeklyBreeze-3-27-84.txt,N/A,Monroeville Weekly Breeze,"March 27, 1884",1884-03-27,3,This news item tells Buffalo Bill that his correspondent was omitted because it was too personal. ,,P,,FALSE
94,E,TRUE,NewAlbanyPublicPress-4-2-84.txt,An Adventurous Boy,New Albany Public Press,"April 2, 1884",1884-04-02,6,A young boy disappeared from his family because they did not intend to take him to the Buffalo Bill show. ,,P,,FALSE
95,E,TRUE,HuntingtonNews-4-3-84.txt,The History of a Warhorse,Huntington News,"April 3, 1884",1884-04-03,5,Comanche was a horse who survived the Custer Massacre that Buffalo Bill asked to use for his performance. ,,P,,FALSE
96,E,TRUE,BrownstownBanner-4-13-84.txt,American Home Life,Brownstown Banner,"April 17, 1884",1884-04-17,3,"This article describes the criminality of home life, which mentions Buffalo Bill briefly. ",,P,,FALSE
97,P,TRUE,FortWayneDailyGazette-5-9-84.txt,N/A,Fort Wayne Daily Gazette,"May 9, 1884",1884-05-09,6,"At the next fair in Fort Wayne, Buffalo Bill will provide his to be attractive show. ",,P,,FALSE
98,E,TRUE,SaturdayEveningMail-5-17-84.txt,Wild West Show,Saturday Evening Mail ,"May 17, 1884",1884-05-17,5,Dr. Carver will be holding a Wild West show; it is noted that he was with Buffalo Bill the previous year ,,P,,FALSE
99,E,TRUE,Critic-5-18-84.txt,Everybody's Boy,Critic,"May 18, 1884",1884-05-18,3,This article calls for a need for boys to read works other than dime novels that depicted killings of Indians. ,,P,,FALSE
100,P,TRUE,IndianapolisNews-5-21-84-page-3.txt,N/A,Indianapolis News ,"May 21, 1884",1884-05-21,3,The news item reports the set-up of Buffalo Bill's show.,This paper also includes an advertisement of Buffalo Bill's Show.,A,,FALSE
101,P,TRUE,IndianapolisNews-5-24-84.txt,N/A,Indianapolis News ,"May 24, 1884",1884-05-24,4,This article describes the parade route for the Buffalo Bill troupe on Monday. ,,P,,FALSE
102,P,TRUE,FortWayneDailySentinel-5-26-84.txt,N/A,Fort Wayne Daily Sentinel,"May 26, 1884",1884-05-26,3,Buffalo Bill was holding his show in Indianapolis on that day and will come to Fort Wayne next month.,,P,,FALSE
103,E,TRUE,LogansportJournal-5-26-84.txt,Buffalo Bill's Ride,Logansport Journal,"May 26, 1884",1884-05-26,N/A,Buffalo Bill missed his special train at Chicago and took another train to catch up with his party at Logansport en route to Cincinnati. ,,P,,FALSE
104,P,TRUE,IndianapolisNews-5-26-84.txt,The Wild Indians,Indianapolis News,"May 26, 1884 ",1884-05-26,4,Article states that Buffalo Bill's troupe gave a procession through the streets and will later give a performance ,,P,,FALSE
105,E,TRUE,FortWayneDailyGazette-5-29-84.txt,N/A,Fort Wayne Daily Gazette,"May 29, 1884",1884-05-29,4,Buffalo Bill lassoed his horses effectively that the Democrats were encouraged to keep him at Fort Wayne. ,,P,,FALSE
106,E,TRUE,DailyWabashExpress-5-29-84.txt,,Daily Wabash Express ,"May 29, 1884 ",1884-05-29,4,"Article notes settles disputes between Carver and his cowboys, as well as Buffalo Bill's agent buying up cowboys in the city ",,P,,FALSE
107,R,TRUE,DelphiJournal-6-3-84.txt,N/A,Delphi Journal,"June 3, 1884",1884-06-03,8,This item disagrees with Buffalo Bill being the Journal's correspondent. ,,P,,FALSE
108,E,TRUE,LogansportJournal-6-5-84.txt,Short Talks with the Boys,Logansport Journal,"June 5, 1884",1884-06-05,3,"This story calls for a need of parents to teach their boys to being good in their lives, especially by not going to the Buffalo Bill show.",,P,,FALSE
109,E,TRUE,TerreHauteWeeklyGazette-6-5-84.txt,A Warm-Hearted Drummer,Terre Haute Weekly Gazette ,"June 5, 1884 ",1884-06-05,5,"""The cowboys deny a published statement that an agent for Buffalo Bill was in town yesterday buying them up.""",,P,,FALSE
110,P,TRUE,FortWayneSundayGazette-6-15-84.txt,N/A,Fort Wayne Sunday Gazette,"June 15, 1884",1884-06-15,4,This news item reports Colonel Prentiss Ingraham's advance in Buffalo Bill's show and his upcoming visit to Fort Wayne.,,P,,FALSE
111,P,TRUE,DailyWabashExpress-7-4-84.txt,,Daily Wabash Express ,"July 4, 1884 ",1884-07-04,1,Article notes that President Arthur and other mentionables attended Buffalo Bill's performance,,P,,FALSE
112,E,TRUE,NewAlbanyLedger-8-2-84.txt,The Injured Showman,New Albany Ledger,"August 2, 1884",1884-08-02,1,Major North had been injured on Thursday and would hopefully avoid inflammation. ,,P,,FALSE
113,E,TRUE,LogansportPharosTribune-8-5-84.txt,N/A,Logansport Pharos Tribune,"August 5, 1884",1884-08-05,4,This gossip item shows Buffalo Bill's comparison about life on the frontier. ,,P,,FALSE
114,E,TRUE,DailyWabashExpress-8-5-84.txt,,Daily Wabash Express ,"August 5, 1884",1884-08-05,2,Buffalo Bill is said to have stated to his audience that they get more out his show than they would living in the west for 10 years ,,P,,FALSE
115,E,TRUE,NewAlbanyLedger-8-6-84.txt,Relation of Literature to Crime,New Albany Ledger,"August 6, 1884",1884-08-06,2,"Literature that depicted murder and violence, including books about Buffalo Bill, were said to be the cause of crimes committed by children.",,P,,FALSE
116,P,TRUE,MadisonDailyHerald-8-21-84.txt,N/A,Madison Daily Herald,"August 21, 1884",1884-08-21,4,Robert Haslam served as an agent of the Buffalo Bill show who will hold a show in Madison in October.,,P,,FALSE
117,E,TRUE,IndianapolisNews-9-19-84.txt,,Indianapolis News,"September 19, 1884",1884-09-19,4,Short note about how Buffalo Bill got his name ,,P,,FALSE
118,E,TRUE,LogansportPharosTribune-9-24-84.txt,The Boy and the Lasso,Logansport Pharos Tribune,"September 24, 1884",1884-09-24,2,"A boy hurt himself by throwing a lasso over his head during a ride after the Buffalo Bill show in Worchester, Massachusetts. ",,P,,FALSE
119,E,TRUE,IndianapolisNews-9-29-84.txt,,Indianapolis News,"September 29, 1884 ",1884-09-29,2,Short discussion about Buffalo Bill's rise to fame vs Judson's; attributed to Ned Buntline ,,P,,FALSE
120,E,TRUE,LogansportWeeklyPharos-10-8-84.txt,The Boston Boy and the Lasso,Logansport Weekly Pharos ,"October 8, 1884",1884-10-08,8,Another boy at Boston injured himself after throwing a lasso at the cow while imitating Buffalo Bill. ,,P,,FALSE
121,E,TRUE,KokomoSaturdayTribune-10-14-84.txt,Buffalo Bill,Kokomo Saturday Tribune,"October 14, 1884",1884-10-14,7,"Buffalo Bill killed 4,280 buffalos for railroad worker, and achieved this name for that. ",,P,,FALSE
122,P,TRUE,MadisonDailyHerald-10-27-84.txt,N/A,Madison Daily Herald,"October 27, 1884",1884-10-27,4,"Buffalo Bill and his troupe came to Madison, IN to advertise their upcoming show. ",,P,,FALSE
123,P,TRUE,AuroraSpectator-10-30-84.txt,Buffalo Bill's Wild West Combination Will Exhibit at Lawrenceburgh,Aurora Spectator,"October 30, 1884",1884-10-30,5,This advertisement announces the Buffalo Bill show and its participants.,This is an advertisement that lists the participants and admission for the show. ,A,,FALSE
124,E,TRUE,LawrenceburghRegister-10-30-84.txt,A Characteristic Letter,Lawrenceburgh Register,"October 30, 1884",1884-10-30,3,This is a letter from Mark Twain explaining his interest in the Buffalo Bill show. ,An inserted letter,P,,FALSE
